2026-03-09 13:00:34 - INFO - viterbi processed marker 2900 for HG01161_h2
2026-03-09 13:00:37 - INFO - viterbi processed marker 3000 for HG01161_h2
2026-03-09 13:00:40 - INFO - viterbi processed marker 3100 for HG01161_h2
2026-03-09 13:00:43 - INFO - viterbi processed marker 3200 for HG01161_h2
2026-03-09 13:00:46 - INFO - viterbi processed marker 3300 for HG01161_h2
2026-03-09 13:00:49 - INFO - viterbi processed marker 3400 for HG01161_h2
2026-03-09 13:00:52 - INFO - viterbi processed marker 3500 for HG01161_h2
2026-03-09 13:00:54 - INFO - viterbi processed marker 3600 for HG01161_h2
2026-03-09 13:00:57 - INFO - viterbi processed marker 3700 for HG01161_h2
2026-03-09 13:01:00 - INFO - viterbi processed marker 3800 for HG01161_h2
2026-03-09 13:01:02 - INFO - haplotype 6 (HG01161_h2) processed
2026-03-09 13:02:52 - INFO - forward pass complete for HG01173_h1
2026-03-09 13:04:44 - INFO - backward pass complete for HG01173_h1
2026-03-09 13:04:57 - INFO - global ancestry calculated for HG01173_h1
2026-03-09 13:05:00 - INFO - viterbi processed marker 100 for HG01173_h1
2026-03-09 13:05:04 - INFO - viterbi processed marker 200 for HG01173_h1
2026-03-09 13:05:07 - INFO - viterbi processed marker 300 for HG01173_h1
2026-03-09 13:05:10 - INFO - viterbi processed marker 400 for HG01173_h1
2026-03-09 13:05:14 - INFO - viterbi processed marker 500 for HG01173_h1
2026-03-09 13:05:17 - INFO - viterbi processed marker 600 for HG01173_h1
2026-03-09 13:05:20 - INFO - viterbi processed marker 700 for HG01173_h1
2026-03-09 13:05:23 - INFO - viterbi processed marker 800 for HG01173_h1
2026-03-09 13:05:26 - INFO - viterbi processed marker 900 for HG01173_h1
2026-03-09 13:05:29 - INFO - viterbi processed marker 1000 for HG01173_h1
2026-03-09 13:05:32 - INFO - viterbi processed marker 1100 for HG01173_h1
2026-03-09 13:05:35 - INFO - viterbi processed marker 1200 for HG01173_h1
2026-03-09 13:05:38 - INFO - viterbi processed marker 1300 for HG01173_h1
2026-03-09 13:05:41 - INFO - viterbi processed marker 1400 for HG01173_h1
2026-03-09 13:05:44 - INFO - viterbi processed marker 1500 for HG01173_h1
2026-03-09 13:05:47 - INFO - viterbi processed marker 1600 for HG01173_h1
2026-03-09 13:05:50 - INFO - viterbi processed marker 1700 for HG01173_h1
2026-03-09 13:05:53 - INFO - viterbi processed marker 1800 for HG01173_h1
2026-03-09 13:05:56 - INFO - viterbi processed marker 1900 for HG01173_h1
2026-03-09 13:05:59 - INFO - viterbi processed marker 2000 for HG01173_h1
2026-03-09 13:06:02 - INFO - viterbi processed marker 2100 for HG01173_h1
2026-03-09 13:06:05 - INFO - viterbi processed marker 2200 for HG01173_h1
2026-03-09 13:06:08 - INFO - viterbi processed marker 2300 for HG01173_h1
2026-03-09 13:06:11 - INFO - viterbi processed marker 2400 for HG01173_h1
2026-03-09 13:06:15 - INFO - viterbi processed marker 2500 for HG01173_h1
2026-03-09 13:06:18 - INFO - viterbi processed marker 2600 for HG01173_h1
2026-03-09 13:06:21 - INFO - viterbi processed marker 2700 for HG01173_h1
2026-03-09 13:06:24 - INFO - viterbi processed marker 2800 for HG01173_h1
2026-03-09 13:06:27 - INFO - viterbi processed marker 2900 for HG01173_h1
2026-03-09 13:06:29 - INFO - viterbi processed marker 3000 for HG01173_h1
2026-03-09 13:06:32 - INFO - viterbi processed marker 3100 for HG01173_h1
2026-03-09 13:06:35 - INFO - viterbi processed marker 3200 for HG01173_h1
2026-03-09 13:06:38 - INFO - viterbi processed marker 3300 for HG01173_h1
2026-03-09 13:06:41 - INFO - viterbi processed marker 3400 for HG01173_h1
2026-03-09 13:06:44 - INFO - viterbi processed marker 3500 for HG01173_h1
2026-03-09 13:06:47 - INFO - viterbi processed marker 3600 for HG01173_h1
2026-03-09 13:06:50 - INFO - viterbi processed marker 3700 for HG01173_h1
2026-03-09 13:06:53 - INFO - viterbi processed marker 3800 for HG01173_h1
2026-03-09 13:06:54 - INFO - haplotype 7 (HG01173_h1) processed
2026-03-09 13:08:43 - INFO - forward pass complete for HG01173_h2
2026-03-09 13:10:30 - INFO - backward pass complete for HG01173_h2
2026-03-09 13:10:41 - INFO - global ancestry calculated for HG01173_h2
2026-03-09 13:10:44 - INFO - viterbi processed marker 100 for HG01173_h2
2026-03-09 13:10:48 - INFO - viterbi processed marker 200 for HG01173_h2
2026-03-09 13:10:51 - INFO - viterbi processed marker 300 for HG01173_h2
2026-03-09 13:10:54 - INFO - viterbi processed marker 400 for HG01173_h2
2026-03-09 13:10:57 - INFO - viterbi processed marker 500 for HG01173_h2
2026-03-09 13:11:00 - INFO - viterbi processed marker 600 for HG01173_h2
2026-03-09 13:11:04 - INFO - viterbi processed marker 700 for HG01173_h2
2026-03-09 13:11:07 - INFO - viterbi processed marker 800 for HG01173_h2
2026-03-09 13:11:09 - INFO - viterbi processed marker 900 for HG01173_h2
2026-03-09 13:11:12 - INFO - viterbi processed marker 1000 for HG01173_h2
2026-03-09 13:11:15 - INFO - viterbi processed marker 1100 for HG01173_h2
2026-03-09 13:11:18 - INFO - viterbi processed marker 1200 for HG01173_h2
2026-03-09 13:11:21 - INFO - viterbi processed marker 1300 for HG01173_h2
2026-03-09 13:11:24 - INFO - viterbi processed marker 1400 for HG01173_h2
2026-03-09 13:11:26 - INFO - viterbi processed marker 1500 for HG01173_h2
2026-03-09 13:11:29 - INFO - viterbi processed marker 1600 for HG01173_h2
2026-03-09 13:11:32 - INFO - viterbi processed marker 1700 for HG01173_h2
2026-03-09 13:11:35 - INFO - viterbi processed marker 1800 for HG01173_h2
2026-03-09 13:11:38 - INFO - viterbi processed marker 1900 for HG01173_h2
2026-03-09 13:11:41 - INFO - viterbi processed marker 2000 for HG01173_h2
2026-03-09 13:11:44 - INFO - viterbi processed marker 2100 for HG01173_h2
2026-03-09 13:11:47 - INFO - viterbi processed marker 2200 for HG01173_h2
2026-03-09 13:11:50 - INFO - viterbi processed marker 2300 for HG01173_h2
2026-03-09 13:11:53 - INFO - viterbi processed marker 2400 for HG01173_h2
2026-03-09 13:11:55 - INFO - viterbi processed marker 2500 for HG01173_h2
2026-03-09 13:11:59 - INFO - viterbi processed marker 2600 for HG01173_h2
2026-03-09 13:12:02 - INFO - viterbi processed marker 2700 for HG01173_h2
2026-03-09 13:12:05 - INFO - viterbi processed marker 2800 for HG01173_h2
2026-03-09 13:12:08 - INFO - viterbi processed marker 2900 for HG01173_h2
2026-03-09 13:12:10 - INFO - viterbi processed marker 3000 for HG01173_h2
2026-03-09 13:12:13 - INFO - viterbi processed marker 3100 for HG01173_h2
2026-03-09 13:12:16 - INFO - viterbi processed marker 3200 for HG01173_h2
2026-03-09 13:12:19 - INFO - viterbi processed marker 3300 for HG01173_h2
2026-03-09 13:12:22 - INFO - viterbi processed marker 3400 for HG01173_h2
2026-03-09 13:12:25 - INFO - viterbi processed marker 3500 for HG01173_h2
2026-03-09 13:12:27 - INFO - viterbi processed marker 3600 for HG01173_h2
2026-03-09 13:12:30 - INFO - viterbi processed marker 3700 for HG01173_h2
2026-03-09 13:12:33 - INFO - viterbi processed marker 3800 for HG01173_h2
2026-03-09 13:12:35 - INFO - haplotype 8 (HG01173_h2) processed
2026-03-09 13:14:23 - INFO - forward pass complete for HG01197_h1
2026-03-09 13:16:12 - INFO - backward pass complete for HG01197_h1
2026-03-09 13:16:23 - INFO - global ancestry calculated for HG01197_h1
2026-03-09 13:16:26 - INFO - viterbi processed marker 100 for HG01197_h1
2026-03-09 13:16:28 - INFO - viterbi processed marker 200 for HG01197_h1
2026-03-09 13:16:31 - INFO - viterbi processed marker 300 for HG01197_h1
2026-03-09 13:16:34 - INFO - viterbi processed marker 400 for HG01197_h1
2026-03-09 13:16:37 - INFO - viterbi processed marker 500 for HG01197_h1
2026-03-09 13:16:40 - INFO - viterbi processed marker 600 for HG01197_h1
2026-03-09 13:16:43 - INFO - viterbi processed marker 700 for HG01197_h1
2026-03-09 13:16:46 - INFO - viterbi processed marker 800 for HG01197_h1
2026-03-09 13:16:49 - INFO - viterbi processed marker 900 for HG01197_h1
2026-03-09 13:16:52 - INFO - viterbi processed marker 1000 for HG01197_h1
2026-03-09 13:16:55 - INFO - viterbi processed marker 1100 for HG01197_h1
2026-03-09 13:16:57 - INFO - viterbi processed marker 1200 for HG01197_h1
2026-03-09 13:17:00 - INFO - viterbi processed marker 1300 for HG01197_h1
2026-03-09 13:17:03 - INFO - viterbi processed marker 1400 for HG01197_h1
2026-03-09 13:17:06 - INFO - viterbi processed marker 1500 for HG01197_h1
2026-03-09 13:17:09 - INFO - viterbi processed marker 1600 for HG01197_h1
2026-03-09 13:17:12 - INFO - viterbi processed marker 1700 for HG01197_h1
2026-03-09 13:17:15 - INFO - viterbi processed marker 1800 for HG01197_h1
2026-03-09 13:17:17 - INFO - viterbi processed marker 1900 for HG01197_h1
2026-03-09 13:17:20 - INFO - viterbi processed marker 2000 for HG01197_h1
2026-03-09 13:17:23 - INFO - viterbi processed marker 2100 for HG01197_h1
2026-03-09 13:17:26 - INFO - viterbi processed marker 2200 for HG01197_h1
2026-03-09 13:17:29 - INFO - viterbi processed marker 2300 for HG01197_h1
2026-03-09 13:17:32 - INFO - viterbi processed marker 2400 for HG01197_h1
