2026-03-11 19:08:40 - INFO - global ancestry calculated for S1_trivial_2_h1
2026-03-11 19:08:42 - INFO - viterbi processed marker 100 for S1_trivial_2_h1
2026-03-11 19:08:43 - INFO - viterbi processed marker 200 for S1_trivial_2_h1
2026-03-11 19:08:45 - INFO - viterbi processed marker 300 for S1_trivial_2_h1
2026-03-11 19:08:47 - INFO - viterbi processed marker 400 for S1_trivial_2_h1
2026-03-11 19:08:48 - INFO - viterbi processed marker 500 for S1_trivial_2_h1
2026-03-11 19:08:50 - INFO - viterbi processed marker 600 for S1_trivial_2_h1
2026-03-11 19:08:51 - INFO - viterbi processed marker 700 for S1_trivial_2_h1
2026-03-11 19:08:53 - INFO - viterbi processed marker 800 for S1_trivial_2_h1
2026-03-11 19:08:54 - INFO - viterbi processed marker 900 for S1_trivial_2_h1
2026-03-11 19:08:56 - INFO - viterbi processed marker 1000 for S1_trivial_2_h1
2026-03-11 19:08:57 - INFO - viterbi processed marker 1100 for S1_trivial_2_h1
2026-03-11 19:08:59 - INFO - viterbi processed marker 1200 for S1_trivial_2_h1
2026-03-11 19:09:01 - INFO - viterbi processed marker 1300 for S1_trivial_2_h1
2026-03-11 19:09:02 - INFO - viterbi processed marker 1400 for S1_trivial_2_h1
2026-03-11 19:09:04 - INFO - viterbi processed marker 1500 for S1_trivial_2_h1
2026-03-11 19:09:05 - INFO - viterbi processed marker 1600 for S1_trivial_2_h1
2026-03-11 19:09:07 - INFO - viterbi processed marker 1700 for S1_trivial_2_h1
2026-03-11 19:09:08 - INFO - viterbi processed marker 1800 for S1_trivial_2_h1
2026-03-11 19:09:10 - INFO - viterbi processed marker 1900 for S1_trivial_2_h1
2026-03-11 19:09:12 - INFO - viterbi processed marker 2000 for S1_trivial_2_h1
2026-03-11 19:09:13 - INFO - viterbi processed marker 2100 for S1_trivial_2_h1
2026-03-11 19:09:15 - INFO - viterbi processed marker 2200 for S1_trivial_2_h1
2026-03-11 19:09:16 - INFO - viterbi processed marker 2300 for S1_trivial_2_h1
2026-03-11 19:09:18 - INFO - viterbi processed marker 2400 for S1_trivial_2_h1
2026-03-11 19:09:19 - INFO - viterbi processed marker 2500 for S1_trivial_2_h1
2026-03-11 19:09:21 - INFO - viterbi processed marker 2600 for S1_trivial_2_h1
2026-03-11 19:09:22 - INFO - viterbi processed marker 2700 for S1_trivial_2_h1
2026-03-11 19:09:24 - INFO - viterbi processed marker 2800 for S1_trivial_2_h1
2026-03-11 19:09:26 - INFO - viterbi processed marker 2900 for S1_trivial_2_h1
2026-03-11 19:09:27 - INFO - viterbi processed marker 3000 for S1_trivial_2_h1
2026-03-11 19:09:29 - INFO - viterbi processed marker 3100 for S1_trivial_2_h1
2026-03-11 19:09:30 - INFO - viterbi processed marker 3200 for S1_trivial_2_h1
2026-03-11 19:09:32 - INFO - viterbi processed marker 3300 for S1_trivial_2_h1
2026-03-11 19:09:33 - INFO - viterbi processed marker 3400 for S1_trivial_2_h1
2026-03-11 19:09:35 - INFO - viterbi processed marker 3500 for S1_trivial_2_h1
2026-03-11 19:09:37 - INFO - viterbi processed marker 3600 for S1_trivial_2_h1
2026-03-11 19:09:38 - INFO - viterbi processed marker 3700 for S1_trivial_2_h1
2026-03-11 19:09:40 - INFO - viterbi processed marker 3800 for S1_trivial_2_h1
2026-03-11 19:09:41 - INFO - viterbi processed marker 3900 for S1_trivial_2_h1
2026-03-11 19:09:43 - INFO - viterbi processed marker 4000 for S1_trivial_2_h1
2026-03-11 19:09:45 - INFO - viterbi processed marker 4100 for S1_trivial_2_h1
2026-03-11 19:09:46 - INFO - viterbi processed marker 4200 for S1_trivial_2_h1
2026-03-11 19:09:48 - INFO - viterbi processed marker 4300 for S1_trivial_2_h1
2026-03-11 19:09:49 - INFO - viterbi processed marker 4400 for S1_trivial_2_h1
2026-03-11 19:09:51 - INFO - viterbi processed marker 4500 for S1_trivial_2_h1
2026-03-11 19:09:52 - INFO - viterbi processed marker 4600 for S1_trivial_2_h1
2026-03-11 19:09:54 - INFO - viterbi processed marker 4700 for S1_trivial_2_h1
2026-03-11 19:09:55 - INFO - viterbi processed marker 4800 for S1_trivial_2_h1
2026-03-11 19:09:57 - INFO - viterbi processed marker 4900 for S1_trivial_2_h1
2026-03-11 19:09:59 - INFO - viterbi processed marker 5000 for S1_trivial_2_h1
2026-03-11 19:10:01 - INFO - viterbi processed marker 5100 for S1_trivial_2_h1
2026-03-11 19:10:03 - INFO - viterbi processed marker 5200 for S1_trivial_2_h1
2026-03-11 19:10:04 - INFO - viterbi processed marker 5300 for S1_trivial_2_h1
2026-03-11 19:10:06 - INFO - viterbi processed marker 5400 for S1_trivial_2_h1
2026-03-11 19:10:07 - INFO - viterbi processed marker 5500 for S1_trivial_2_h1
2026-03-11 19:10:09 - INFO - viterbi processed marker 5600 for S1_trivial_2_h1
2026-03-11 19:10:11 - INFO - viterbi processed marker 5700 for S1_trivial_2_h1
2026-03-11 19:10:12 - INFO - viterbi processed marker 5800 for S1_trivial_2_h1
2026-03-11 19:10:14 - INFO - viterbi processed marker 5900 for S1_trivial_2_h1
2026-03-11 19:10:15 - INFO - viterbi processed marker 6000 for S1_trivial_2_h1
2026-03-11 19:10:17 - INFO - viterbi processed marker 6100 for S1_trivial_2_h1
2026-03-11 19:10:19 - INFO - viterbi processed marker 6200 for S1_trivial_2_h1
2026-03-11 19:10:20 - INFO - viterbi processed marker 6300 for S1_trivial_2_h1
2026-03-11 19:10:21 - INFO - haplotype 3 (S1_trivial_2_h1) processed
2026-03-11 19:11:54 - INFO - forward pass complete for S1_trivial_2_h2
2026-03-11 19:13:31 - INFO - backward pass complete for S1_trivial_2_h2
2026-03-11 19:13:43 - INFO - global ancestry calculated for S1_trivial_2_h2
2026-03-11 19:13:44 - INFO - viterbi processed marker 100 for S1_trivial_2_h2
2026-03-11 19:13:46 - INFO - viterbi processed marker 200 for S1_trivial_2_h2
2026-03-11 19:13:47 - INFO - viterbi processed marker 300 for S1_trivial_2_h2
2026-03-11 19:13:49 - INFO - viterbi processed marker 400 for S1_trivial_2_h2
2026-03-11 19:13:51 - INFO - viterbi processed marker 500 for S1_trivial_2_h2
2026-03-11 19:13:52 - INFO - viterbi processed marker 600 for S1_trivial_2_h2
2026-03-11 19:13:54 - INFO - viterbi processed marker 700 for S1_trivial_2_h2
2026-03-11 19:13:55 - INFO - viterbi processed marker 800 for S1_trivial_2_h2
2026-03-11 19:13:57 - INFO - viterbi processed marker 900 for S1_trivial_2_h2
2026-03-11 19:13:58 - INFO - viterbi processed marker 1000 for S1_trivial_2_h2
2026-03-11 19:14:00 - INFO - viterbi processed marker 1100 for S1_trivial_2_h2
2026-03-11 19:14:02 - INFO - viterbi processed marker 1200 for S1_trivial_2_h2
2026-03-11 19:14:03 - INFO - viterbi processed marker 1300 for S1_trivial_2_h2
2026-03-11 19:14:05 - INFO - viterbi processed marker 1400 for S1_trivial_2_h2
2026-03-11 19:14:06 - INFO - viterbi processed marker 1500 for S1_trivial_2_h2
2026-03-11 19:14:08 - INFO - viterbi processed marker 1600 for S1_trivial_2_h2
2026-03-11 19:14:10 - INFO - viterbi processed marker 1700 for S1_trivial_2_h2
2026-03-11 19:14:11 - INFO - viterbi processed marker 1800 for S1_trivial_2_h2
2026-03-11 19:14:13 - INFO - viterbi processed marker 1900 for S1_trivial_2_h2
2026-03-11 19:14:14 - INFO - viterbi processed marker 2000 for S1_trivial_2_h2
